Designator,Mid X,Mid Y,Layer,Rotation
C1,17.5,13.725,top,90
C2,32.5,16.525,top,90
C3,11.25,7.225,top,90
C4,12.025,11.5,top,180
C5,12.025,13,top,180
C6,12.8525,15,top,0
D2,17.775,5.5,bottom,180
D3,32,3,top,180
D4,28,3,top,180
D5,8,3,top,180
FB1,13,17.25,top,180
FID1,3,18,top,0
FID2,37,18,top,0
FID3,37,7,top,0
ID1,29.5,23,top,0
J1,20,22.5,top,180
Q1,24.775,5.5,bottom,180
R1,34.825,10.25,top,180
R2,34.825,11.75,top,180
R3,29.575,9,top,0
R4,14.425,3,top,0
R5,34.825,13.25,top,180
R6,23,17,top,180
R7,17,17,top,0
R8,20.955,10.8175,top,90
R9,19.05,10.8175,top,90
R10,32,5,top,180
R11,28,5,top,180
R12,8,5,top,180
U1,29.5,12.5,top,0
U2,20,14.5,top,-90
U3,7,12,top,0
